biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,paths
"Vinnie Hutton loved to run. He began running in high school and later was inducted into the YMCA’s 75,000 Mile Club in 1977. He was presented a golden sneaker with wings for his thousands of miles that he ran. He had a remarkable career as an athlete, coach, race director and track administrator spanned more than 60 years. He established the weekly Saturday morning runs at Clove Lakes Park which eventually evolved into the 3-mile fun runs which have since been put on every Saturday morning since 1967 by the Staten Island Athletic Club. He served as a coach and director of the Staten Island Harriers track team. He also gained the support of the community and ask businesses for support to purchase trophies for race events.  ",Staten Island,Intersection,1562083200000.0,Rose ,At the southwest corner of Cheshire Place and Clove Road ,Vinnie Hutton Harrier Fun Run Way,,10301.0,7528.0, Int. No.  1631,"40.61829564400006,-74.10517853399995"
"Jayden Zahir McLaurin resided at the Ravenswood Houses, where he started his basketball journey. He first started to pursue his passion for basketball at Corpus Christi and he would then go on to play for the Boys & Girls Club (CM3), Team Pro Reps, Martin Luther King High School, IS 204 with the 114 precinct for Saturdays Night Lights, and many others schools/teams such as IS 141 and IS 122. Jayden was a sophomore at Martin Luther King High School for Law, Advocacy and Community Justice where he was also on the bowling team. He hoped to pursue a career as a realtor or lawyer after receiving his bachelor’s degree. He was the light of his community and a great leader for his friends. Helping others was a natural instinct for him. He was the bridge between the community and youth. When seniors needed help, he never hesitated to give anyone a hand. He was also very involved with promoting and organizing community events. He was tragically killed on April 10, 2023 due to a hit and run accident. Since his passing, the Boys & Girls Club, schools, the 114th Precinct and the Ravenswood Community Center all held memorial events and basketball tournaments in his honor. His family has been very active in holding rallies as part of the World Day of Remembrance for traffic victims bringing awareness to the dangers of certain intersections. ",Queens,Intersection,1723046400000.0,Won,At the intersection of 35th Avenue and 21st Street , Jayden McLaurin Way   ,,11106.0,7529.0,Int. No. 968		,"40.761348011000045,-73.93539459099998"
"Officer Bruce Reynolds was killed on the September 11, 2001 while attempting to rescue victims trapped in the World Trade Center.  Despite respiratory problems, he ran onto the scene to save as many lives as possible.  He served the Port Authority Police for fifteen years and was known within the Inwood Community as an exemplary police officer.  ",Manhattan,Intersection,1437235200000.0,Rodriguez,at Park Terrace East south of 215th Street ,Bruce Reynolds Way,,10034.0,7530.0, Int. No. 849	,"40.87016020500005,-73.91704750499996"
"Jose A. Perez died after giving his life in the line of duty while responding to another officer’s request for help. He was an outstanding and devoted man of peace who offered himself for the sake of saving others, and was posthumously awarded the New York Police Department Purple Shield Medal for his sacrifice.  ",Brooklyn,Intersection,1626451200000.0,Lander,At the northeast corner of 3rd Street and Prospect Park West  ,Jose A. Perez Way ,,11215.0,7531.0,Int. No. 2187,"40.66821699500008,-73.97383302199995"
"Frank Macri served with the New York City Police Department for over 12 years and was assigned to Police Service Area 2. On 9/11, he survived the collapse of World Trade Center tower two and was later assigned to Ground Zero and the Fresh Kills landfill, where he inhaled toxic chemicals. He died of 9/11 related illness. ",Queens,Intersection,1657900800000.0,Koslowitz,At the northwest corner of Clyde Street and Yellowstone Boulevard ,Police Officer FRANK G. MACRI WAY ,,11375.0,7532.0,Int. No. 2477,"40.72162099200005,-73.85457798599997"
"James Clement Kelly Sr. was born in Bethlehem, Pennsylvania and served in the United States Army from 1951 until 1953 as an Infantryman in Korea, where he received the Combat Infantryman Badge.  He was honorably discharged as a Sergeant, after serving an additional six years in the United States Army Reserve.  He joined the Firm Hope Baptist Church in Philadelphia, Pennsylvania and was licensed to preach in 1954.  He was ordained at Fellowship Baptist Church in Detroit, Michigan in 1955.  Because of his many achievements, Virginia Union conferred upon him, the honorary degree, of Doctor of Divinity, (D.D.) May, 1983.  He pastored his first church, Gravel Hill Baptist Church in Richmond from 1963 until 1965. He was later called to Pastor the Fifth Baptist Church in Richmond from 1965 until December, 1976. While pastoring in Richmond, he was one of two African Americans appointed by the Richmond City Council, to serve on the Human Relations Committee, for the City of Richmond.  He relocated to Jamaica, New York, where he pastored the Calvary Baptist Church from 1977 until 1988.  On September 11, 1988, he became the Founder and Pastor of the New Jerusalem Baptist Church in Jamaica, New York. He received numerous awards, accommodations and accolades during his more than 50 years in the Gospel Ministry, including the coveted Golden Heritage Award from the N.A.A.C.P.  He is listed in ""Who's Who among Black Americans.""  His High School, Bethlehem High (Class of 1947), honored him with a plaque ""Alumni of Distinction"". He also served in numerous Civic and religious capacities, including Vice President, Richmond Virginia Branch, N.A.A.C.P., President, State of Virginia Progressive National Baptist Convention, President, New York State Progressive National Baptist Convention, Chairman, Home Mission Board, Progressive National Baptist Convention and President of the Eastern Region, Progressive National Baptist Convention. He was past Treasurer of the American Baptist Churches of Metropolitan New York and President Emeritus of the Southeast Queens Clergy for Community Empowerment, which is now named Clergy United for Community Empowerment.  He was a Prince Hall Mason and a member of Lebanon Lodge #54 in Jamaica, New York.  In 1991, he was awarded the 33 degree honor.  Beginning in January, 1996 he was voted by Lebanon Lodge, where he served as Chaplain, to become a Lifetime Member.  In January 1988, he traveled to Italy and was named Honorary Past Master, of Robert B. Croxton Lodge #128.  He was also a member and Chaplain of the Jamaica (Queens), New York Rotary Club and later a member of the Rotary Club of Orlando, Florida, member of the Queens Federation of Churches, member of the Queens Baptist Ministers Conference, member of the New York City Mission Society, and a Board Member of Jamaica Hospital in Queens, New York.  ",Queens,Intersection,1469203200000.0,Miller,At the intersection of Baisley Boulevard and Smith Street ,Reverend Dr. James C. Kelly Sr. Way ,,11434.0,7533.0,Int. No. 1227,"40.679036886000056,-73.77841850499992"
"Rev. Abner Bernard Duncan began preaching the gospel at an early age.  He opened the First Glorious Church in 1953 with a congregation of 3 people.  Over the years the congregation grew to 250 people.  The church also held street services for the community.  He taught Sunday School and Bible Study throughout the country and in other areas, such as Spain and European countries.  The First Glorious Church also serves as a work site for the Summer Youth Employment Program and holds summer school programs.  He is remembered for his work to end gun violence, counseling the families of gun violence victims, and holding vigils at the sites of shootings.  He was always helpful during emergencies, including the infamous Happy Land Fire.  The fire, which occurred in 1990 in an unlicensed nightclub on Southern Boulevard in the Bronx, took 87 lives.  He was on the scene of the fire, lending a hand to first responders.  He worked to connect survivors of the fire to services, in order to assist them in their time of crisis.  He also advocated for street safety.  After several pedestrians were hit by vehicles on Loring Place in the Bronx, he organized residents to hold rallies calling on the Department of Transportation to install stop signs.  The campaign was successful and the intersection is now safer. ",Bronx,Intersection,1468598400000.0,Torres,At the intersection of East 180th Street and Arthur Avenue ,Rev. Abner Bernard Duncan Way ,,10457.0,7534.0,Int. No. 1054,"40.84945460200003,-73.89155735999998"
"Ossie Davis was a legendary actor and activist who influenced generations with his professional achievements and humanitarian causes.  He was born in Cogdell, Georgia and later moved to New York City to embark upon a writing and acting career and studied drama with Harlem’s Rose McClendon Players.  He served in World War II as a surgical technician, where he developed his writing ability by creating shows for his fellow troops.  After his service in World War II, he returned to United States and made his Broadway debut in 1946 appearing in “Jeb Turner.” In 1948, he married the actor Ruby Dee and together they would go on to form one of the greatest husband-and-wife teams in entertainment history.  He began his cinema career in 1950, appearing with his wife in the film “No Way Out;” and starred in films like “The Cardinal” and “The Hill,” and also appeared in numerous television shows, including the acclaimed detective drama “The Outsider” and as a cast member of “The Defenders” series.  He became a major force in the theater world when he wrote the hit Broadway musical “Purlie Victorious,” and was an acclaimed director of stage and screen, best known for his direction of the popular “Cotton Comes To Harlem.” He founded the innovative Third World Cinema Production Company, which assists African-American and Latino filmmakers. Throughout his career, he branched out beyond his role as an artist and embraced the African-American struggle for equality, by being a highly visible member of the civil rights movement with his support of Paul Robeson, Malcolm X and Dr. Martin Luther King, Jr., and in his later years, as an outspoken proponent against apartheid in South Africa and for diversity in the entertainment industry.  He was the recipient of numerous awards and honors including the NAACP Image Hall of Fame, the Theater Hall of Fame and the National Medal of Arts Award. 

 ",Manhattan,Intersection,1531670400000.0,Perkins ,At the intersection of West 123rd Street and St. Nicholas Avenue with the sign facing north in front of 258 St. Nicholas Avenue,Ossie Davis Way,,10027.0,7535.0,Int. No. 988,"40.809172186000076,-73.95289603399993"
"Zurana Horton was a lifelong Brooklyn resident who received her education through the New York Public School System. She was picking up her child when she was shot to death across the street from a school in Brownsville, Brooklyn. During the incident, she tried to protect several children from a gunman on a rooftop who opened fire on a group of rivals on a crowded street. An 11-year-old girl was grazed in the cheek and another woman who was also retrieving her child was hit in the arm and chest as the man fired at least a dozen shots with an automatic pistol onto Watkins Street from his perch atop a five-story building on Pitkin Avenue. She was seen moments before she was shot, hovering over several children to protect them as the shots were fired. ",Brooklyn,Intersection,1375113600000.0,Mealy, At the intersection of Watkins Street and Pitkin Avenue , Zurana Horton Way   ,,11212.0,7536.0,Int. No. 1045-A			,"40.670096437000026,-73.90797070899998"
"Joseph Albergo was one of the most active residents of Rosedale for half a century.  He served as Treasurer for Community Board 13 and was involved in various projects throughout the community.  In addition, he served as president of Community School Board 29 for many years. In addition, Joseph served on the Rosedale Ambulance Corps, the Rosedale Civic Association, the Rosedale Lions Club and the Rosedale Nutrition Club. ",Queens,Intersection,1248969600000.0," Sanders, Jr. ",At the intersection of Brookville Boulevard and Hook Creek Boulevard ,Joseph Albergo Way,,11422.0,7537.0,Int. No. 931-A,"40.68318921500002,-73.72592968599997"
