biographical_information,borough,category,enactment_year,introduced_by_council_members,limits,new_name,present_name,zip_code,objectid,intro_number,notes,paths
"This co-naming will commemorate the legacy of Ballet Hispánico on the Upper West side of Manhattan. Ballet Hispánico was founded in 1970 by Tina Ramirez and has performed for over 2.3 million people at theaters in New York, throughout the United States, Cuba, Puerto Rico, Latin America and Europe. The school of dance has trained over 20,000 dance students and provided $5.5 million in scholarships and the arts education program has reached over 750,000 New York City students and adults and communities nationwide and internationally.  ",Manhattan,Street,1657382400000.0,Brewer,Between Columbus Avenue and Amsterdam Avenue ,Ballet Hispánico Way ,West 89th Street ,10024.0,1274.0,Int. No. 480-A,,"40.78957444700008,-73.97348929299996|40.78847784000002,-73.97088486799996"
"James D. Garst was a longtime advocate for affordable housing, serving as founder of the New York State Tenants and Neighbors Coalition, and was a longtime Board member of the Mitchell-Lama Council.  Mr. Garst was also a member of the Merchant Marines.  ",Manhattan,Street,1217606400000.0,Brewer,Between Columbus Avenue and Amsterdam Avenue , James D. Garst Way  , South side of West 94th Street   ,10025.0,1275.0,Int. No. 825			,,"40.79271447700008,-73.97119481799994|40.79161386000003,-73.96859039299993"
"Dennis Patrick O’ Connell was a lifelong resident of the Bronx and at age 11 became the president of the FDNY Explorer Post 588 and rode with Engine 88 during the “Bronx is Burning Years.”  In 1973, he chose to serve on the FDNY as a Fire Alarm Dispatcher for the next 37 years contributing to saving many lives through his knowledge of the ins and outs of the Bronx directing Fire Companies efficiently to emergencies.  He volunteered his time as a bagpiper in the FDNY Emerald Society Pipes and Drum Band and was a member of Leonard H. Hawkins American Legion Post 156 as well as a Den Leader for Cub/Boy Scouts Troop 211 for many years. ",Bronx,Street,1249228800000.0,Rivera ,Between Bronx Park Avenue and Devoe Avenue ,Supervising Fire Dispatcher Dennis Patrick O’ Connell Place ,East 180th Street ,10460.0,1276.0,Int. No. 1103-A,,"40.84205561600002,-73.87603364599994|40.841576739000054,-73.87469254099994"
Ron Carey was a highly regarded member of his community and influential President of the Teamsters Union who succeeded in championing the rights of union workers and reforming the union to better represent its members.  ,Queens,Street,1249228800000.0,Avella ,Between 203rd and 206th Streets ,Ron Carey Avenue ,28th Avenue ,11360.0,1277.0,Int. No. 1103-A,,"40.773209345000026,-73.78751479700001|40.77335559400006,-73.78742226099992|40.77348965500006,-73.78732972499992|40.77366332500003,-73.78714599399996|40.77380652600006,-73.78694885099998|40.77390910300005,-73.78676109699992|40.77398222600003,-73.786608211|40.774058397,-73.78637083499997|40.77410206800004,-73.78619917399998|40.77412644200005,-73.78602483|40.774147386000045,-73.785875028"
"This co-naming would commemorate the Malbone Street Wreck, a subway derailment that killed 93 people and left hundreds injured on November 1, 1918. The Brooklyn Rapid Transit subway train crashed near the intersection of Malbone Street, Flatbush and Ocean Avenues becoming the deadliest transit disaster ever in New York City. ",Brooklyn,Street,1561996800000.0,Cumbo,Between Flatbush Avenue and Washington Avenue ,Malbone Centennial Way ,Empire Boulevard ,11225.0,1278.0, Int. No.  1631,,"40.663194375000046,-73.96225602099997|40.66326355100005,-73.96109194199991"
"Marshall C. England was born on October 27, 1932, in Thomasville, Alabama, to Reverend L.T. England, Sr. and Mrs. Daisy Bronx England. He grew up in Alabama and graduated from Alabama A&M University. After serving a hitch in the United States Army, Mr. England went onto teach for 3 years at Linden Academy High School, in Linden, Alabama, where he also coached football. 

In 1958, Mr. England moved to New York City and began work as a street gang worker for the New  York City Youth Board. He went on to work with numerous community organizations until, during the anti-poverty movement, he founded and became Executive Director of L.A.B.O.R. (the League of Autonomous Bronx Organizations for Renewal). L.A.B.O.R. was an umbrella agency which included the operation of two day care centers, a housing program, a major food distribution program, a youth program, a Big Brother/Big Sister program and a community residence program for formerly mentally institutionalized patients. 

Mr. England was a man whose enormous commitment to issues and causes made him a tireless worker. Living on a limited income, he continuously worked for positive change by informing and involving people. He also believed in starting and building new organizations to meet community needs by addressing a myriad of issues that impacted on poor neighborhoods and communities of color. In his early years in New York, he chaired New York C.O.R.E. and the board of the HARYOU-ACT Community Corporation. Mr. England received numerous awards for his community activism including the “Community Leadership Award” from the Bronx Branch of the New York Urban League (1983), the “Man of the Year Award” from The Bronx Unity Democratic Club (1982) and the Health Advocacy Award” from the Health Policy Advisory Center (1990). 

Marshall C. England passed away on January 22, 2000. He was survived by two sisters, Rose Enoch Cameron and Bettye Jean Clayton of Alabama; and his long-time companion Judy Wessler. ",Bronx,Street,1061568000000.0,Rivera,Between the Cross Bronx Expressway and Claremont Parkway ,Marshall C. England Way	,Bathgate Avenue,10457.0,1279.0,Int. No. 437-A		,,"40.84388430200004,-73.89871490799996|40.842713515000085,-73.89935595599992|40.842132382000074,-73.89967414299994|40.84132152900004,-73.9001418439999|40.84060058000005,-73.90055768299999|40.83997552500006,-73.90089990800001|40.83854694700002,-73.90172388199996"
"Charles “Chuck” Seidner was an old fashioned type of guy, honest, hard working, dedicated and a good family man. Born on October 22, 1942, he later resided in the Bronx attending his neighborhood schools. Later on, he faithfully managed Loeser’s Delicatessen for 32 years and lived in the Kingsbridge community for most of his 58 years. Chuck was the Deli man with a difference. Referred to as “ the Mayor of 231st Street”, he was someone that deli customers, store merchants, deliverymen, and passerby’s came to know and trust.  

He wasn’t just working, to him, what he did was not just a “job” because he brought happiness, a simplicity and goodness of feelings into other people’s lives. This fulfilled him as much as others. Chuck’s life was very meaningful to all of the people who had some contact with him. He passed away on August 19, 2001. 

A street name change in the neighborhood where Charles R. Seidner spent most of his life would honor him. It would be a proud moment for his family as well as the community he embraced for almost 50 years. ",Bronx,Street,1091808000000.0, Koppell ,between Godwin Terrace and Broadway ,Chuck Seidner Way ,West 231st Street ,10463.0,1280.0,Int. No. 281-A,,"40.87899018100004,-73.90492505999997|40.87939172300004,-73.90571899400003"
"Joe Blandino widely known as Big Joe, was an alumnus of Iona Preparatory School class of 1982, and attained his Bachelor’s degree in Political Science in 1991.  His family lived in the Bronx until they moved to Florida when he was 17 years old. While in Florida, he worked at the family-owned restaurant Expresso Pizzeria, was a part of the Treasure Coast Opera Society, and coached football at John Carrol High School. When he was 23 years old, he moved back to the Bronx where he was a well-known photographer and video editor for Martone Brothers’ Photography for over 30 years. He was very involved in his children’s schooling by playing Santa Claus every year at their school during Christmas, volunteered with the drama club, was a member and president of the Father’s Club and volunteered as a chef for school barbecues and other charity events.  He was also a member and served as an umpire for the Bronx Umpire Alliance, was a member of the Italian-American Club, the Morris Park Association, the Boy Scouts of America, the Kiwanis Club and also volunteered at Calvary Hospital.   ",Bronx,Street,1531411200000.0,Gjonaj ,Between Morris Park Avenue and Van Nest Avenue ,Joe Blandino Way ,Bogart Avenue,10462.0,1281.0,Int. No. 988,,"40.84614151500006,-73.85692667899998|40.84725745900002,-73.85781717199994"
"James D. Garst was a longtime advocate for affordable housing, serving as founder of the New York State Tenants and Neighbors Coalition, and was a longtime Board member of the Mitchell-Lama Council.  Mr. Garst was also a member of the Merchant Marines.  Rina Garst was a dedicated community activist on the Upper West Side for more than half a century.  She was an anti-war activist and had extensive involvement in the labor and civil rights movements.  She was instrumental in the creation of a housing program called Naturally-Occurring Retirement Community (NORC) for three Upper West Side buildings.  She established what became the Goddard-Riverside NORC, was director of the Education Council of District Council 37-AFSCME, worked for the Department of Consumer Affairs and managed Socialist David McReynolds’ 1968 campaign for Congress on the Peace and Freedom Party ticket. 

 ",Manhattan,Street,1500825600000.0,Rosenthal ,Between Columbus Avenue and Amsterdam Avenue,James and Rina Garst Way ,West 94th Street ,10025.0,1282.0,Int. No. 1744,,"40.79270426100005,-73.971187274|40.79162801200001,-73.96862308199998"
The Society of the Citizens of Pozzallo was founded in 1919.  This organization has provided assistance to the poor and underprivileged by promoting the advancement of education and by contributing to other organized institutions of science and medical research.   ,Brooklyn,Street,1248969600000.0,DeBlasio ,Between Sackett Street and Union Street ,Citizens of Pozzallo Way ,Henry Street  ,11231.0,1283.0,Int. No. 931-A,,"40.684085334000024,-73.99943571299997|40.68354734900002,-73.99968784"
